name,rank,year
The Grand Budapest Hotel,8.1,2014
Gone Girl,8.1,2014
Hacksaw Ridge,8.1,2016
The Gold Rush,8.1,1925
Salinui Chueok,8.1,2003
In the Name of the Father,8.1,1993
Dead Poets Society,8.1,1989
Mad Max: Fury Road,8.1,2015
Relatos Salvajes,8.1,2014
The Deer Hunter,8.1,1978
The General,8.1,1926
"Monsters, Inc.",8.1,2001
On the Waterfront,8.1,1954
Sherlock Jr.,8.2,1924
Jaws,8.1,1975
How to Train Your Dragon,8.1,2010
The Third Man,8.1,1949
Le Salaire De La Peur,8.2,1953
Mary and Max,8.1,2009
Smultronstället,8.1,1957
Mr. Smith Goes to Washington,8.1,1939
Ratatouille,8.1,2007
Ford v. Ferrari,8.1,2019
Tokyo Story,8.1,1953
The Big Lebowski,8.1,1998
Room,8.1,2015
Det Sjunde Inseglet,8.1,1957
Rocky,8.1,1976
Logan,8.1,2017
Spotlight,8.1,2015
Hotel Rwanda,8.1,2004
The Terminator,8.1,1984
Platoon,8.1,1986
La passion de Jeanne d'Arc,8.1,1928
La haine,8.1,1995
Before Sunset,8.1,2004
The Best Years of Our Lives,8.1,1946
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,2003
The Exorcist,8.1,1973
Jai Bhim,8.7,2021
Rush,8.1,2013
Network,8.1,1976
The Wizard of Oz,8.1,1939
Stand by Me,8.1,1986
The Incredibles,8.0,2004
Hachi: A Dog's Tale,8.1,2009
Ah-ga-ssi,8.1,2016
Into the Wild,8.1,2007
My Father and My Son,8.2,2005
The Sound of Music,8.1,1965
To Be or Not to Be,8.1,1942
La battaglia di Algeri,8.1,1966
Groundhog Day,8.0,1993
The Grapes of Wrath,8.1,1940
Amores perros,8.1,2000
The Iron Giant,8.1,1999
Rebecca,8.1,1940
Cool Hand Luke,8.1,1967
The Help,8.1,2011
It Happened One Night,8.1,1934
Dances with Wolves,8.0,1990
Aladdin,8.0,1992
Drishyam,8.2,2015
Gangs of Wasseypur,8.2,2012
