BookPrice,BookRating,BookTitle,image_urls,images
£45.17,star-rating Two,It's Only the Himalayas,https://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,"[{'url': 'https://books.toscrape.com/media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg', 'path': 'full/9f6d1ea68c52d6493987f7117f33c7cc404c854c.jpg', 'checksum': '322132faaa23b32f23b2277763070e38', 'status': 'downloaded'}]"
£23.88,star-rating One,Olio,https://books.toscrape.com/media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg,"[{'url': 'https://books.toscrape.com/media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg', 'path': 'full/56fcbe914cc21ae0ac5a2d133b028ada978e59f5.jpg', 'checksum': '9db20920ad54fd3fc22191fd38655e5e', 'status': 'downloaded'}]"
£57.25,star-rating Three,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",https://books.toscrape.com/media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg,"[{'url': 'https://books.toscrape.com/media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg', 'path': 'full/9e60bf21d16c2f002f5858829e9491c04eafac96.jpg', 'checksum': '629a79f64afebda0a269d177cef91f49', 'status': 'downloaded'}]"
£35.02,star-rating Five,Rip it Up and Start Again,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,"[{'url': 'https://books.toscrape.com/media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg', 'path': 'full/2bffa18e2bbc0a5c64c05d0f4062b0c1f76d684d.jpg', 'checksum': '676e46432274c6bfdb78ed3467159cd2', 'status': 'downloaded'}]"
£35.02,star-rating Five,Rip it Up and Start Again,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,"[{'url': 'https://books.toscrape.com/media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg', 'path': 'full/010a64103aaece7059195430538fda18174077e8.jpg', 'checksum': 'e70745c3ed812b280b71c48524c1136b', 'status': 'downloaded'}]"
£35.02,star-rating Five,Rip it Up and Start Again,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,"[{'url': 'https://books.toscrape.com/media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg', 'path': 'full/023836a93667f1efaa5c2ce2dfefca84d6d1bb4b.jpg', 'checksum': '19ad931bffbb82ca91f7521509ab86ca', 'status': 'downloaded'}]"
£35.02,star-rating Five,Rip it Up and Start Again,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,"[{'url': 'https://books.toscrape.com/media/cache/b8/e9/b8e91bd2fc74c3954118999238abb4b8.jpg', 'path': 'full/df8d0c344f1ac4df3636591e2555f850f60bbd62.jpg', 'checksum': '5a46f5a7734731ef690fa7d29b5172d5', 'status': 'downloaded'}]"
£35.02,star-rating Five,Rip it Up and Start Again,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,"[{'url': 'https://books.toscrape.com/media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg', 'path': 'full/6eb8260c521a04dbb7ead7acbae0c6c323757439.jpg', 'checksum': '3ad6ebcc7d01ccf0fc4f87783a5a798b', 'status': 'downloaded'}]"
£35.02,star-rating Five,Rip it Up and Start Again,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,"[{'url': 'https://books.toscrape.com/media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg', 'path': 'full/beb968f02a29d993a0dbb194bb62cdf554bf691f.jpg', 'checksum': 'd1b51ee0ef2272528f451435ca5bdf61', 'status': 'downloaded'}]"
£35.02,star-rating Five,Rip it Up and Start Again,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,"[{'url': 'https://books.toscrape.com/media/cache/91/a4/91a46253e165d144ef5938f2d456b88f.jpg', 'path': 'full/432e0bc8de7f0ebc7801428cf37ef07f3cf75158.jpg', 'checksum': 'e9dd55986205a6c2fd413195a49a68e0', 'status': 'downloaded'}]"
£35.02,star-rating Five,Rip it Up and Start Again,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,"[{'url': 'https://books.toscrape.com/media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg', 'path': 'full/c8d53117048493e0b66343fd7a159245827f039e.jpg', 'checksum': 'c21e5caeaa751d1a4d6b527015d9e9ee', 'status': 'downloaded'}]"
£35.02,star-rating Five,Rip it Up and Start Again,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,"[{'url': 'https://books.toscrape.com/media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg', 'path': 'full/a2966fb172610b3483353a0c83029d35cd761c6c.jpg', 'checksum': '0aa168c58156ff282e4c7a83e7444abe', 'status': 'downloaded'}]"
£35.02,star-rating Five,Rip it Up and Start Again,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,"[{'url': 'https://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg', 'path': 'full/d0bfd72284b95129341d8646844dce20ea57dfb6.jpg', 'checksum': '558d2b6b14eef75b10736e1b163fb14a', 'status': 'downloaded'}]"
£35.02,star-rating Five,Rip it Up and Start Again,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,"[{'url': 'https://books.toscrape.com/media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg', 'path': 'full/9ae84f416aec703c6baee8a14b10d8ea3054fe2e.jpg', 'checksum': 'e23cdff2fffadb18d56713015f623924', 'status': 'downloaded'}]"
£35.02,star-rating Five,Rip it Up and Start Again,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,"[{'url': 'https://books.toscrape.com/media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg', 'path': 'full/795e2d4ad37cac8ace366e52b85499b2fed8ded7.jpg', 'checksum': 'a7702f200f64009f2691b4eb9f9a3576', 'status': 'downloaded'}]"
£35.02,star-rating Five,Rip it Up and Start Again,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,"[{'url': 'https://books.toscrape.com/media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg', 'path': 'full/2aa9830cfca2d2406acd8f690ba6dffc29f8c37e.jpg', 'checksum': 'a2e73313456b225eebc9748c11c09860', 'status': 'downloaded'}]"
£35.02,star-rating Five,Rip it Up and Start Again,https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,"[{'url': 'https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg', 'path': 'full/11b49188e52ec86fdc01690ce80a3abf6b35506e.jpg', 'checksum': 'eaedc1f29d80cacbf76322028e89c3f5', 'status': 'downloaded'}]"
£56.13,star-rating One,The Secret of Dreadwillow Carse,https://books.toscrape.com/media/cache/7b/fd/7bfde4a3d6793f13e9a2d8851a398847.jpg,"[{'url': 'https://books.toscrape.com/media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg', 'path': 'full/8cd60fdfb624a48560a5c506d1bab7cd0e2ce9a6.jpg', 'checksum': '53e9e25bb9c0e0a892dfc36b21804f97', 'status': 'downloaded'}]"
